[Header]
Application Name	LabSolutions
Version	5.54 SP5
Data File Name	C:\LabSolutions\Data\Project1\Miles\Nikolai Click + TCEP neu7 0 min.lcd
Output Date	16.09.2020
Output Time	13:31:56

[File Information]
Type	Data File
Generated	26.08.2020 13:56:41
Generated by	System Administrator
Modified	27.08.2020 16:18:40
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	26.08.2020 13:57:20
Sample Type	0:Unknown
Level	0
Sample Name	Nikolai Click + TCEP neu7 0 min
Sample ID	Nikolai Click + TCEP neu7 0 min
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	1
Injection Volume	150

[Original Files]
Data File	C:\LabSolutions\Data\Project1\Miles\Nikolai Click + TCEP neu7 0 min.lcd
Method File	C:\LabSolutions\Data\Project1\Miles\Tripeptid.lcm
Batch File	
Report Format File	C:\LabSolutions\System\DEFAULT.lsr

[File Description]
Nikolai Click + TCEP neu7 0 min

[Configuration]
Instrument Name	KRAEMER-PC-Instrument1
Instrument #	1
Line #	1
# of Detectors	1
Detector ID	PDA
Detector Name	PDA
# of Channels	1

[Peak Table(PDA-Ch1)]
# of Peaks	2
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Area Ratio	Height Ratio	Conc. %	Norm Conc.
1	14,171	13,973	14,368	1452953	116167	12,507	0,000	   M			0,000	20068	7,475	0,998	0,000	0,000	0	0	0,000	0,000
2	14,947	14,709	15,179	352858	24919	14,160	0,000	   M			0,055	23375	6,417	0,989	1,962	0,000	0	0	0,000	0,000

[Compound Results(PDA)]
# of IDs	0

[PDA Multi Chromatogram(Ch1)]
# of Points	      2815
Interval(msec)	640
Start Time(min)	0
End Time(min)	30,016
Intensity Units	mAU
Intensity Multiplier	1
Type	MultiChrom
Wavelength(nm)	218
Bandwidth(nm)	4
R.Time (min)	Intensity
0,00000	0
0,01067	0
0,02133	0
0,03200	0
0,04267	0
0,05333	0
0,06400	0
0,07467	0
0,08533	0
0,09600	0
0,10667	0
0,11733	-319
0,12800	-766
0,13867	-1386
0,14933	-2116
0,16000	-2676
0,17067	-3260
0,18133	-4111
0,19200	-5083
0,20267	-6169
0,21333	-7231
0,22400	-8298
0,23467	-9306
0,24533	-10306
0,25600	-11282
0,26667	-12241
0,27733	-13252
0,28800	-14242
0,29867	-15217
0,30933	-16202
0,32000	-17196
0,33067	-18113
0,34133	-19065
0,35200	-19992
0,36267	-20897
0,37333	-21817
0,38400	-22721
0,39467	-23592
0,40533	-24454
0,41600	-25303
0,42667	-26162
0,43733	-27006
0,44800	-27870
0,45867	-28735
0,46933	-29582
0,48000	-30432
0,49067	-31300
0,50133	-32126
0,51200	-32984
0,52267	-33824
0,53333	-34678
0,54400	-35514
0,55467	-36327
0,56533	-37141
